instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,0.0,37,0.7467948717948718,0.6346153846153846,0.7070063694267515,193.8054158687592,0.0
balance-scale,2,0.01,37,0.7467948717948718,0.6346153846153846,0.7070063694267515,201.7808613777161,0.0
balance-scale,2,0.1,37,0.717948717948718,0.6346153846153846,0.6687898089171974,168.12343215942383,0.0
balance-scale,2,0.0,42,0.7403846153846154,0.7051282051282052,0.6815286624203821,148.6934633255005,0.0
balance-scale,2,0.01,42,0.7403846153846154,0.7051282051282052,0.6815286624203821,130.4070930480957,0.0
balance-scale,2,0.1,42,0.7115384615384616,0.6794871794871795,0.6687898089171974,213.59964895248413,0.0
balance-scale,2,0.0,53,0.7435897435897436,0.6730769230769231,0.6751592356687898,134.82355856895447,0.0
balance-scale,2,0.01,53,0.7435897435897436,0.6858974358974359,0.6942675159235668,225.89057445526123,0.0
balance-scale,2,0.1,53,0.7115384615384616,0.6602564102564102,0.6560509554140127,269.1874477863312,0.0
balance-scale,3,0.0,37,0.7948717948717948,0.7564102564102564,0.7133757961783439,600.8338413238525,1.0
balance-scale,3,0.01,37,0.7788461538461539,0.6987179487179487,0.6942675159235668,600.8364219665527,0.9361035150279344
balance-scale,3,0.1,37,0.717948717948718,0.6346153846153846,0.6687898089171974,600.8495330810547,0.6971235194585396
balance-scale,3,0.0,42,0.7788461538461539,0.6858974358974359,0.6878980891719745,601.046993970871,1.0
balance-scale,3,0.01,42,0.7948717948717948,0.7051282051282052,0.7006369426751592,600.7908933162689,0.951048951048951
balance-scale,3,0.1,42,0.7115384615384616,0.6794871794871795,0.6687898089171974,600.9215173721313,0.625
balance-scale,3,0.0,53,0.7884615384615384,0.6730769230769231,0.732484076433121,600.9817576408386,0.9848484848484848
balance-scale,3,0.01,53,0.7916666666666666,0.6923076923076923,0.732484076433121,600.858270406723,0.9277566539923956
balance-scale,3,0.1,53,0.7115384615384616,0.6666666666666666,0.6815286624203821,600.8715951442719,0.6043771043771115
balance-scale,4,0.0,37,0.8461538461538461,0.75,0.7452229299363057,602.3095262050629,1.0
balance-scale,4,0.01,37,0.842948717948718,0.7692307692307693,0.7643312101910829,602.564459323883,0.9276242211215848
balance-scale,4,0.1,37,0.717948717948718,0.6858974358974359,0.6496815286624203,602.1166167259216,0.6252115059221591
balance-scale,4,0.0,42,0.8173076923076923,0.7243589743589743,0.6751592356687898,601.9149038791656,1.0
balance-scale,4,0.01,42,0.8365384615384616,0.7692307692307693,0.7388535031847133,601.87051820755,0.9523809523809524
balance-scale,4,0.1,42,0.6538461538461539,0.6217948717948718,0.6114649681528662,602.532794713974,0.7560975609756097
balance-scale,4,0.0,53,0.7916666666666666,0.6794871794871795,0.643312101910828,601.7896950244904,1.0
balance-scale,4,0.01,53,0.8397435897435898,0.7243589743589743,0.7707006369426752,602.0820753574371,0.9364675984752232
balance-scale,4,0.1,53,0.7628205128205128,0.6666666666666666,0.6815286624203821,601.8704543113708,0.7389078498293552
balance-scale,5,0.0,37,0.8108974358974359,0.6858974358974359,0.7452229299363057,604.1043467521667,1.0
balance-scale,5,0.01,37,0.8108974358974359,0.7243589743589743,0.7643312101910829,603.9785716533661,0.9745997687858234
balance-scale,5,0.1,37,0.717948717948718,0.6858974358974359,0.6496815286624203,603.9058632850647,0.8595600676818926
balance-scale,5,0.0,42,0.8653846153846154,0.7435897435897436,0.7261146496815286,603.91872215271,1.0
breast-cancer,2,0.0,37,0.782608695652174,0.782608695652174,0.6857142857142857,25.50444293022156,0.0
breast-cancer,2,0.01,37,0.782608695652174,0.782608695652174,0.6857142857142857,48.20753073692322,0.0
breast-cancer,2,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,24.69549250602722,0.0
breast-cancer,2,0.0,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,54.90662860870361,0.0
breast-cancer,2,0.01,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,63.200597524642944,0.0
breast-cancer,2,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,30.311910152435303,0.0
breast-cancer,2,0.0,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,55.77949595451355,0.0
breast-cancer,2,0.01,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,52.34021306037903,0.0
breast-cancer,2,0.1,53,0.7391304347826086,0.7536231884057971,0.6,35.31071853637695,0.0
breast-cancer,3,0.0,37,0.8260869565217391,0.7391304347826086,0.7142857142857143,600.6270906925201,1.0
breast-cancer,3,0.01,37,0.8260869565217391,0.7681159420289855,0.6714285714285714,600.6780834197998,0.867735470941883
breast-cancer,3,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,440.04228687286377,0.0
breast-cancer,3,0.0,42,0.855072463768116,0.6666666666666666,0.7714285714285715,600.6983528137207,1.0
breast-cancer,3,0.01,42,0.8478260869565217,0.7681159420289855,0.7285714285714285,600.5894989967346,0.8863976083707027
breast-cancer,3,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,600.6878273487091,0.22380952380951946
breast-cancer,3,0.0,53,0.8405797101449275,0.6811594202898551,0.7142857142857143,600.7824766635895,1.0
breast-cancer,3,0.01,53,0.8188405797101449,0.7681159420289855,0.6857142857142857,600.6407659053802,0.8909479686386313
breast-cancer,3,0.1,53,0.7391304347826086,0.7536231884057971,0.6,413.2598056793213,0.0
breast-cancer,4,0.0,37,0.855072463768116,0.7101449275362319,0.7142857142857143,601.6346678733826,1.0
breast-cancer,4,0.01,37,0.8043478260869565,0.782608695652174,0.7,600.8590965270996,0.9321705426356585
breast-cancer,4,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,328.29553747177124,0.0
breast-cancer,4,0.0,42,0.8985507246376812,0.7101449275362319,0.7428571428571429,601.4716699123383,1.0
breast-cancer,4,0.01,42,0.8913043478260869,0.7391304347826086,0.7428571428571429,600.8369977474213,0.8967136150234742
breast-cancer,4,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,600.8255882263184,0.43809523809523493
breast-cancer,4,0.0,53,0.8768115942028986,0.7681159420289855,0.6285714285714286,601.0944678783417,1.0
breast-cancer,4,0.01,53,0.8188405797101449,0.7101449275362319,0.6857142857142857,600.8841717243195,0.9223093371347112
breast-cancer,4,0.1,53,0.7391304347826086,0.7536231884057971,0.6,495.34610414505005,0.0
breast-cancer,5,0.0,37,0.7971014492753623,0.7391304347826086,0.7285714285714285,602.4094195365906,1.0
breast-cancer,5,0.01,37,0.8260869565217391,0.7971014492753623,0.7428571428571429,601.8193726539612,0.9359844810863236
breast-cancer,5,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,466.45545291900635,0.0
breast-cancer,5,0.0,42,0.9202898550724637,0.7246376811594203,0.6857142857142857,602.1829640865326,1.0
breast-cancer,5,0.01,42,0.8478260869565217,0.7101449275362319,0.7,601.9185240268707,0.9307359307359306
breast-cancer,5,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,601.7963669300079,0.44761904761904453
breast-cancer,5,0.0,53,0.8768115942028986,0.6521739130434783,0.6142857142857143,602.244987487793,1.0
breast-cancer,5,0.01,53,0.8188405797101449,0.7101449275362319,0.6857142857142857,601.8552529811859,0.9451176051318602
breast-cancer,5,0.1,53,0.7391304347826086,0.7536231884057971,0.6,262.8766305446625,0.0
